RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,"Stephen Gostkowski, NEK",0/0,0,0,0,0,0,0,0,0,0,157
2,"Blair Walsh, MinK",0/0,0,0,0,0,0,0,0,0,0,157
3,"Matt Bryant, AtlK",0/0,0,0,0,0,0,0,0,0,0,150
4,"Justin Tucker, BalK",0/0,0,0,0,0,0,0,0,0,0,148
5,"Phil Dawson, SFK",0/0,0,0,0,0,0,0,0,0,0,144
6,"Matt Prater, DenK",0/0,0,0,0,0,0,0,0,0,0,144
7,"Randy Bullock, HouK",0/0,0,0,0,0,0,0,0,0,0,141
8,"Sebastian Janikowski, OakK",0/0,0,0,0,0,0,0,0,0,0,137
9,"Josh Brown, NYGK",0/0,0,0,0,0,0,0,0,0,0,137
10,"David Akers, DetK",0/0,0,0,0,0,0,0,0,0,0,134
11,"Dan Bailey, DalK",0/0,0,0,0,0,0,0,0,0,0,134
12,"Greg Zuerlein, StLK",0/0,0,0,0,0,0,0,0,0,0,130
13,"Steven Hauschka, SeaK",0/0,0,0,0,0,0,0,0,0,0,128
14,"Garrett Hartley, NOK",0/0,0,0,0,0,0,0,0,0,0,127
15,"Robbie Gould, ChiK",0/0,0,0,0,0,0,0,0,0,0,125
16,"Mike Nugent, CinK",0/0,0,0,0,0,0,0,0,0,0,124
17,"Mason Crosby, GBK",0/0,0,0,0,0,0,0,0,0,0,121
18,"Adam Vinatieri, IndK",0/0,0,0,0,0,0,0,0,0,0,120
19,"Lawrence Tynes, TBK",0/0,0,0,0,0,0,0,0,0,0,120
20,"Alex Henery, PhiK",0/0,0,0,0,0,0,0,0,0,0,117
21,"Shaun Suisham, PitK",0/0,0,0,0,0,0,0,0,0,0,114
22,"Rob Bironas, TenK",0/0,0,0,0,0,0,0,0,0,0,112
23,"Graham Gano, CarK",0/0,0,0,0,0,0,0,0,0,0,112
24,"Kai Forbath, WshK",0/0,0,0,0,0,0,0,0,0,0,109
25,"Jay Feely, AriK",0/0,0,0,0,0,0,0,0,0,0,106
