"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf"
"Adrian Peterson","rb",2097,12,217,1,0,0,0,0,0,0,0
"Alfred Morris","rb",1613,13,77,0,0,0,0,0,0,0,0
"Marshawn Lynch","rb",1590,11,196,1,0,0,0,0,0,0,0
"Jamaal Charles","rb",1509,5,236,1,0,0,0,0,0,0,0
"Doug Martin","rb",1454,11,472,1,0,0,0,0,0,0,0
"Arian Foster","rb",1424,15,217,2,0,0,0,0,0,0,0
"Stevan Ridley","rb",1263,12,51,0,0,0,0,0,0,0,0
"C.J. Spiller","rb",1244,6,459,2,0,0,0,0,0,0,0
"Chris Johnson","rb",1243,6,232,0,0,0,0,0,0,0,0
"Frank Gore","rb",1214,8,234,1,0,0,0,0,0,0,0
"Ray Rice","rb",1143,9,478,1,0,0,0,0,0,0,0
"Matt Forte","rb",1094,5,340,1,0,0,0,0,0,0,0
"BenJarvus Green-Ellis","rb",1094,6,104,0,0,0,0,0,0,0,0
"Shonn Greene","rb",1063,8,151,0,0,0,0,0,0,0,0
"Steven Jackson","rb",1042,4,321,0,0,0,0,0,0,0,0
"Ahmad Bradshaw","rb",1015,6,245,0,0,0,0,0,0,0,0
"Reggie Bush","rb",986,6,292,2,0,0,0,0,0,0,0
"Trent Richardson","rb",950,11,367,1,0,0,0,0,0,0,0
"LeSean McCoy","rb",840,2,373,3,0,0,0,0,0,0,0
"Vick Ballard","rb",814,2,152,1,0,0,0,0,0,0,0
"Michael Turner","rb",800,10,128,1,0,0,0,0,0,0,0
"Mikel Leshoure","rb",798,9,214,0,0,0,0,0,0,0,0
"DeAngelo Williams","rb",737,5,187,2,0,0,0,0,0,0,0
"Willis McGahee","rb",731,4,221,0,0,0,0,0,0,0,0
"Darren McFadden","rb",707,2,258,1,0,0,0,0,0,0,0
"Ryan Mathews","rb",707,1,252,0,0,0,0,0,0,0,0
"DeMarco Murray","rb",663,4,251,0,0,0,0,0,0,0,0
"Jonathan Dwyer","rb",623,2,106,0,0,0,0,0,0,0,0
"Mark Ingram","rb",602,5,29,0,0,0,0,0,0,0,0
"Bryce Brown","rb",564,4,56,0,0,0,0,0,0,0,0
"Bernard Pierce","rb",532,1,47,0,0,0,0,0,0,0,0
"Knowshon Moreno","rb",525,4,167,0,0,0,0,0,0,0,0
"Daryl Richardson","rb",475,0,163,0,0,0,0,0,0,0,0
"Pierre Thomas","rb",473,1,354,1,0,0,0,0,0,0,0
"Alex Green","rb",464,0,125,0,0,0,0,0,0,0,0
